Record #,Wrinkles,Scars,Shell Segments,Color,Fangs for some reason,Nostril Size,Miscellaneous Abnormalities,Weight
1,4,0,8,green,no,normal,2,17.7lb
2,3,3,10,green,no,unusually large,1,15.6lb
3,0,4,6,green,no,normal,0,20.4lb
4,4,1,10,green,no,normal,0,16.2lb
5,2,2,8,green,no,normal,0,15.4lb
6,8,1,16,grayish-green,no,normal,2,28.1lb
7,0,3,12,grayish-green,no,normal,0,21.1lb
8,2,1,10,green,no,normal,0,16.5lb
9,2,0,10,green,no,normal,0,18.2lb
10,5,2,11,gray,yes,normal,0,5.8lb
11,3,3,9,green,no,normal,0,17.2lb
12,7,1,15,gray,yes,unusually small,2,7.1lb
13,7,2,11,grayish-green,no,normal,0,22.1lb
14,0,6,6,green,no,normal,0,20.4lb
15,0,4,6,green,no,normal,0,20.4lb
16,1,4,8,green,no,normal,3,15.2lb
17,0,1,6,green,no,normal,0,20.4lb
18,0,4,6,green,no,normal,0,20.4lb
19,3,2,11,green,no,normal,1,21.7lb
20,1,2,10,gray,yes,normal,1,5.1lb
21,1,7,11,green,no,normal,2,18.2lb
22,2,1,9,green,no,normal,0,15.9lb
23,4,1,8,gray,yes,normal,2,4.1lb
24,4,3,15,green,no,normal,0,22.2lb
25,1,2,9,grayish-green,no,normal,1,17.5lb
26,1,2,9,green,no,unusually large,4,21.8lb
27,7,3,9,greenish-gray,no,normal,1,23.7lb
28,0,1,6,green,no,normal,0,20.4lb
29,7,2,11,grayish-green,no,unusually large,2,22.8lb
30,2,3,8,grayish-green,no,unusually large,0,17.6lb
31,3,2,9,grayish-green,no,normal,0,17.6lb
32,1,1,12,green,no,normal,5,19.6lb
33,0,3,11,green,no,unusually small,6,16.7lb
34,1,3,11,green,no,normal,0,17.0lb
35,0,5,6,green,no,normal,0,20.4lb
36,6,5,10,grayish-green,no,normal,5,22.8lb
37,0,6,6,green,no,normal,0,20.4lb
38,3,5,10,grayish-green,no,unusually large,0,20.4lb
39,0,2,6,green,no,normal,0,20.4lb
